,athlete_id,athlete,country_noc,total_medaille
98587,99970,Samppa Lajunen,FIN,5
43830,44177,Mauritz Eriksson,SWE,5
105795,107509,Wang Hao,CHN,5
67121,67641,Hannes Kolehmainen,FIN,5
104374,106021,Aldo Montano,ITA,5
85011,86266,Harald Grønningen,NOR,5
43185,43526,Harald Natvig,NOR,5
121978,124648,Lasse Norman Hansen,DEN,5
92527,93855,Klete Keller,USA,5
97864,99245,Nikolay Zimyatov,URS,5
84650,85904,Marc Gagnon,CAN,5
93092,94425,Venus Williams,USA,5
122777,125533,Brittany Elmslie,AUS,5
78521,79119,Walter Tewksbury,USA,5
9866,9922,Olaf Heukrodt,GDR,5
22251,22423,Tibor Berczelly,HUN,5
75859,76449,Edvin Wide,SWE,5
97077,98447,Pål Tyldum,NOR,5
89326,90623,Yuliya Pakhalina,RUS,5
125534,128455,Wendy Holdener,SUI,5
127644,130733,Shericka Jackson,JAM,5
58,59,Kitty McKane,GBR,5
116726,118807,Martin Johnsrud Sundby,NOR,5
28785,29005,Gina Gogean,ROU,5
20477,20624,Laura Flessel,FRA,5
115639,117649,Nastia Liukin,USA,5
80294,81510,Helena Kivioja,FIN,5
15467,15574,Brad McGee,AUS,5
30797,31040,Michael Reusch,SUI,5
77151,77749,Evelyn Ashford,USA,5
113811,115744,Alicia Coutts,AUS,5
43606,43949,Marina Logvinenko,RUS,5
80639,81856,Anita Moen,NOR,5
35494,35779,Katsiaryna Khadatovich,BLR,5
103428,105045,Sanya Richards,USA,5
41093,41415,Mariya Grozdeva,BUL,5
10145,10201,Antonio Rossi,ITA,5
10663,10719,Michal Martikán,SVK,5
125665,128586,Stina Nilsson,SWE,5
68408,68934,Guy Butler,GBR,5
10090,10146,Josefa Idem,ITA,5
80551,81768,Bente Martinsen,NOR,5
117026,119129,Tessa Virtue,CAN,5
130716,134063,Adam Peaty,GBR,5
39174,39484,Constanţa Pipotă,ROU,5
22486,22660,Manlio Di Rosa,ITA,5
82424,83647,Peter Angerer,FRG,5
92628,93957,Wang Nan,CHN,5
78587,79185,Mal Whitfield,USA,5
117018,119121,Scott Moir,CAN,5
89971,91272,Li Xiaopeng,CHN,5
11409,11469,Christine Stückelberger,SUI,5
134138,137801,Denis Spitsov,ROC,5
41467,41792,Lars Jørgen Madsen,DEN,5
29975,30208,Roland Brückner,GDR,5
63088,63567,Robert Scheidt,BRA,5
76794,77390,Valery Borzov,URS,5
78403,79001,Jackson Scholz,USA,5
128968,132158,Lilly King,USA,5
81089,82306,Vreni Schneider,SUI,5
119814,122304,Cao Yuan,CHN,5
36916,37218,Jack Beresford,GBR,5
22549,22723,Oreste Puliti,ITA,5
50926,51294,Steve Clark,USA,5
44378,44728,Larry Nuesslein,USA,5
105956,107679,Anastasiya Davydova,RUS,5
28306,28524,Erika Zuchold,GDR,5
22771,22947,Arie de Jong,NED,5
81126,82343,Katja Seizinger,GER,5
85294,86551,Eric Heiden,USA,5
50942,51310,Josh Davis,USA,5
88316,89605,Li Jiajun,CHN,5
110855,112724,Teddy Riner,FRA,5
29550,29778,Veikko Huhtanen,FIN,5
85102,86358,Georg Hackl,GER,5
108004,109782,Justyna Kowalczyk,POL,5
27901,28117,Sviatlana Bahinskaya,BLR,5
30089,30324,Andreas Wecker,GDR,5
78275,78873,Charley Paddock,USA,5
86284,87553,Knut Johannesen,NOR,5
48527,48889,Tsuyoshi Yamanaka,JPN,5
11335,11395,Liselott Linsenhoff,GER,5
14227,14321,Jens Fiedler,GER,5
44499,44849,Jasna Šekarić,IOA,5
133992,137639,Choi Min-Jeong,KOR,5
